name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Vitara Brezza LDi,2017,9750.0,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Alto 800 CNG LXI Optional,2019,4950.0,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4.0
Maruti Alto K10 VXI Airbag,2019,5490.0,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai Verna VTVT 1.6 SX Option,2019,17235.0,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0
Datsun GO D,2016,2250.0,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0
Tata Safari DICOR 2.2 LX 4x2,2011,6375.0,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0
Maruti 800 Std,2012,2250.0,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Jeep Compass 1.4 Limited Plus BSIV,2019,31500.0,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5.0
Honda City i VTEC VX,2018,13875.0,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
Honda City V MT,2013,6375.0,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0
Maruti Swift Dzire VXi AT,2018,10125.0,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0
Maruti Vitara Brezza VDi,2018,12299.984999999999,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Alto K10 VXI,2018,5850.0,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Toyota Fortuner 4x4 MT,2014,22500.0,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,10500.0,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0
Mercedes-Benz B Class B180,2014,21750.0,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5.0
Honda Amaze S Diesel,2015,6375.0,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0
Mitsubishi Pajero Sport 4X4,2013,16350.0,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7.0
Honda City i DTEC S,2015,9000.0,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Ciaz Zeta,2018,12750.0,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5.0
Honda Jazz VX Diesel,2015,7875.0,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,24750.0,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,14250.0,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
Audi A6 2.0 TDI Technology,2013,26250.0,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0
Toyota Corolla Altis 1.8 VL CVT,2018,23850.0,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0
Audi A6 2.0 TDI  Design Edition,2013,25349.985,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0
Mercedes-Benz New C-Class 220 CDI AT,2013,21375.0,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0
Tata Manza ELAN Quadrajet BS IV,2011,3975.0,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
Hyundai i10 Magna,2011,2850.0,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Hyundai i20 Asta 1.4 CRDi,2013,6375.0,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0
Maruti Swift Dzire ZDI,2015,9450.0,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Ford Figo 1.2P Titanium MT,2017,9000.0,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0
Maruti Baleno Delta 1.2,2019,9750.0,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,8100.0,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5.0
Honda City i DTEC VX,2015,9450.0,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0
Maruti Wagon R AMT VXI,2018,6720.0,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,7500.0,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0
Maruti Vitara Brezza VDi,2016,11175.0,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Vitara Brezza ZDi Plus AMT,2019,15375.0,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Hyundai i10 Magna,2011,3525.0,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0
Maruti Swift VDI Deca,2016,9450.0,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Toyota Fortuner 4x4 MT,2015,25500.0,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0
Maruti Swift Star VDI,2013,6750.0,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Ertiga ZXI,2012,6750.0,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Tata Indica DLS,2003,750.0,70000,Diesel,Individual,Manual,First Owner,,,,,
Volkswagen Vento Diesel Highline,2013,6750.0,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,18000.0,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,9150.0,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0
BMW X1 sDrive20i xLine,2016,37500.0,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5.0
Maruti Celerio ZXI MT BSIV,2017,7274.985,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Datsun GO A Petrol,2016,4125.0,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5.0
Maruti Alto 800 VXI BSIV,2016,4725.0,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Maruti Alto 800 LXI BSIV,2016,4125.0,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Maruti Swift VDI BSIV W ABS,2015,7125.0,78000,Diesel,Dealer,Manual,First Owner,,,,,
Hyundai i10 Era 1.1,2012,4350.0,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Maruti Omni 8 Seater BSIV,2017,4200.0,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0
Maruti Wagon R LXI LPG BSIV,2010,3375.0,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0
Volkswagen Polo 1.2 MPI Comfortline,2015,6825.0,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5.0
Hyundai i10 Magna 1.1L,2015,5265.0,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0
Volkswagen Vento Petrol Highline,2012,8025.0,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0
Maruti Zen Estilo LXI BSIII,2009,2625.0,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Hyundai i20 Asta Optional with Sunroof 1.2,2013,7875.0,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
Maruti Swift Dzire LDI,2016,9000.0,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai Xcent 1.2 Kappa SX Option AT,2016,8475.0,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Maruti Alto LX BSIII,2008,1800.0,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Hyundai i20 1.4 Asta Option,2017,10875.0,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Maruti Wagon R VXI,2009,2775.0,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0
Tata Manza Aura (ABS) Quadrajet,2010,3000.0,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0
Maruti Swift VXI,2019,9225.0,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Eeco 7 Seater Standard BSIV,2016,4050.0,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0
Maruti Baleno Zeta 1.2,2018,9150.0,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,9375.0,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Ford Freestyle Titanium Petrol BSIV,2020,6000.0,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0
Hyundai Verna VTVT 1.6 SX,2017,12990.0,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0
Volkswagen Passat 1.8 TSI MT,2010,10500.0,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5.0
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,4500.0,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5.0
Mahindra XUV500 W11 Option AWD,2019,25500.0,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7.0
Tata Indigo CS LS (TDI) BS-III,2016,5625.0,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
Hyundai Verna 1.6 SX,2013,7830.0,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,6779.985,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0
Toyota Corolla Altis G,2009,4500.0,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5.0
Maruti Celerio VXI,2020,7125.0,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,11700.0,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Swift Dzire VXI,2017,8925.0,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0
Maruti Wagon R VXI BS IV,2017,6600.0,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Maruti Swift VDI BSIV,2010,4500.0,120000,Diesel,Individual,Manual,Second Owner,,,,,
Nissan Terrano XL 85 PS,2014,6000.0,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0
Hyundai Creta 1.6 CRDi SX,2016,17100.0,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,12750.0,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0
Maruti Swift Dzire VDi,2012,5550.0,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Renault KWID 1.0,2018,5250.0,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
Maruti Celerio VXI,2015,5400.0,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Maruti Alto LXi,2008,1575.0,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Ertiga VDI,2013,9375.0,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Hyundai Santro Xing GLS,2009,2025.0,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0
Maruti Ertiga VDI,2015,10500.0,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Honda Amaze S i-VTEC,2019,10350.0,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0
Audi Q5 35TDI Premium Plus,2018,59625.0,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5.0
Lexus ES 300h,2019,77250.0,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,48000.0,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,61500.0,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5.0
Land Rover Discovery Sport TD4 SE,2019,67500.0,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7.0
Mercedes-Benz S-Class S 350 CDI,2017,90000.0,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5.0
BMW 5 Series 520d Sport Line,2018,56850.0,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5.0
BMW X1 sDrive 20D xLine,2017,32250.0,27000,Diesel,Dealer,Automatic,First Owner,,,,,
BMW X4 M Sport X xDrive20d,2019,87000.0,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
Skoda Superb LK 1.8 TSI AT,2018,27974.985,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5.0
Mercedes-Benz E-Class E250 Edition E,2016,40500.0,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5.0
MG Hector Sharp AT BSIV,2019,26250.0,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5.0
Honda City i-VTEC CVT VX,2017,11925.0,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0
Toyota Corolla Altis 1.8 G CVT,2013,9375.0,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0
Volvo XC40 D4 R-Design,2018,51000.0,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5.0
Audi Q7 35 TDI Quattro Premium,2015,39750.0,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7.0
Maruti Ciaz ZDi,2015,8025.0,40000,Diesel,Dealer,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Mercedes-Benz S-Class S 350 CDI,2017,87750.0,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm,5.0
BMW 5 Series 523i,2010,14625.0,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm,5.0
Hyundai Elantra S,2016,12075.0,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,39375.0,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,12165.0,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0
Volkswagen Vento Petrol Highline,2011,5625.0,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0
Hyundai Elantra SX,2012,8250.0,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0
Skoda Rapid 1.6 MPI AT Elegance,2016,9675.0,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0
Mercedes-Benz CLA 200 CGI Sport,2018,38250.0,18000,Petrol,Dealer,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5.0
Maruti Ertiga ZXI,2014,8985.0,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,40500.0,16000,Petrol,Dealer,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5.0
